Date,Close,Open,High,Low
2013-10-01T04:00:00.000Z,123.65499,124.30466,124.75166,122.56349
2013-10-02T04:00:00.000Z,125.455,123.65499,125.7585,123.63383
2013-10-03T04:00:00.000Z,108.58483,125.455,125.66566,83.32833
2013-10-04T04:00:00.000Z,118.67466,108.58483,118.675,107.05816
2013-10-05T04:00:00.000Z,121.33866,118.67466,121.93633,118.00566
2013-10-06T04:00:00.000Z,120.65533,121.33866,121.85216,120.5545
2013-10-07T04:00:00.000Z,121.795,120.65533,121.99166,120.43199
2013-10-08T04:00:00.000Z,123.033,121.795,123.64016,121.35066
2013-10-09T04:00:00.000Z,124.049,123.033,124.7835,122.59266
2013-10-10T04:00:00.000Z,125.96116,124.049,128.01683,123.81966
2013-10-11T04:00:00.000Z,125.27966,125.96116,126.43666,124.11383
2013-10-12T04:00:00.000Z,125.9275,125.27966,126.0365,123.12966
2013-10-13T04:00:00.000Z,126.38333,125.9275,126.8965,125.2765
2013-10-14T04:00:00.000Z,135.24199,126.38333,135.24199,126.255
2013-10-15T04:00:00.000Z,133.20333,135.24199,135.69216,130.39275
2013-10-16T04:00:00.000Z,142.76333,133.20333,143.60483,132.94933
2013-10-17T04:00:00.000Z,137.92333,142.76333,145.601,136.01466
2013-10-18T04:00:00.000Z,142.95166,137.92333,144.311,137.53966
2013-10-19T04:00:00.000Z,152.55183,142.95166,152.6685,142.47949
2013-10-20T04:00:00.000Z,160.33883,152.55183,167.07999,152.5135
2013-10-21T04:00:00.000Z,164.31499,160.33883,164.3315,159.89666
2013-10-22T04:00:00.000Z,177.63333,164.31499,177.71166,163.87149
2013-10-23T04:00:00.000Z,188.29716,177.63333,188.82383,177.11399
2013-10-24T04:00:00.000Z,200.70166,188.29716,202.34333,185.81683
2013-10-25T04:00:00.000Z,180.355,200.70166,201.33316,158.72216
2013-10-26T04:00:00.000Z,175.03166,180.355,184.09033,162.56466
2013-10-27T04:00:00.000Z,177.6965,175.03166,180.3185,174.74483
2013-10-28T04:00:00.000Z,187.15983,177.6965,188.3985,174.9035
2013-10-29T04:00:00.000Z,192.75666,187.15983,192.83983,185.88116
2013-10-30T04:00:00.000Z,197.4,192.75666,198.41366,191.62716
2013-10-31T04:00:00.000Z,196.02499,197.4,198.79333,192.83366
2013-11-01T04:00:00.000Z,198.04883,196.02499,198.57,195.02916
2013-11-02T04:00:00.000Z,198.93233,198.04883,199.09783,195.49
2013-11-03T04:00:00.000Z,200.543,198.93233,201.24116,198.71016
